surface	mode	path	driver	width	height	textless	md5	mean_luma
station_42a	mono	reports/pkg_0187/visual/station_42a__mono.png	Windows	640	360	true	ac060ca5ab9095f2888735a57383a837	0.1887
station_42b	opening_panel	reports/pkg_0187/visual/station_42b__opening_panel.png	Windows	640	360	false	785ccaa9c7a65d226bbdb31a745b9163	0.1644
station_42b	normal	reports/pkg_0187/visual/station_42b__normal.png	Windows	640	360	false	774957f454f735ab3e7d2bc9c18e6095	0.1964
station_42b	threshold	reports/pkg_0187/visual/station_42b__threshold.png	Windows	640	360	false	46dcdd89fca5a833958a6a2353be801f	0.1927
station_42b	npc_frame	reports/pkg_0187/visual/station_42b__npc_frame.png	Windows	640	360	false	245e09d0197c444b74670844f4db138b	0.1918
station_42b	mono	reports/pkg_0187/visual/station_42b__mono.png	Windows	640	360	true	e247e3f4a933241dcefe859803be0a7d	0.1880
station_42c	opening_panel	reports/pkg_0187/visual/station_42c__opening_panel.png	Windows	640	360	false	80dfa84cec4b8b45b97d64bdc0f37f09	0.1643
station_42c	normal	reports/pkg_0187/visual/station_42c__normal.png	Windows	640	360	false	29e2ee351bc7b3f626b4b3861f434d67	0.1956
station_42c	threshold	reports/pkg_0187/visual/station_42c__threshold.png	Windows	640	360	false	8d428aab0300ee428c1e17dbe5435a65	0.1931
station_42c	npc_frame	reports/pkg_0187/visual/station_42c__npc_frame.png	Windows	640	360	false	a7b9166fe74037cc713a9bf109398cbb	0.1928
station_42c	mono	reports/pkg_0187/visual/station_42c__mono.png	Windows	640	360	true	6bd49db934a13c42d675edbefba9124d	0.1887
station_43	opening_panel	reports/pkg_0187/visual/station_43__opening_panel.png	Windows	640	360	false	2ade72a18156f62d8f4fcd6b3047b4d1	0.1340
station_43	normal	reports/pkg_0187/visual/station_43__normal.png	Windows	640	360	false	cc0c218633feef2ba4f1393156498e68	0.1490
station_43	threshold	reports/pkg_0187/visual/station_43__threshold.png	Windows	640	360	false	aa982d8a09239b29857355aa634fd097	0.1493
station_43	mono	reports/pkg_0187/visual/station_43__mono.png	Windows	640	360	true	67b0ae952c0ed9f1b63e1357284996b1	0.1618
panel_portrait	lena	reports/pkg_0187/visual/panel_portrait__lena.png	Windows	640	360	false	06fba3eec9bfc27fe058f15173f3ce87	0.2537
panel_portrait	marta	reports/pkg_0187/visual/panel_portrait__marta.png	Windows	640	360	false	9888b3e49ec5577a86ab26f57312053e	0.2504
panel_portrait	jakub	reports/pkg_0187/visual/panel_portrait__jakub.png	Windows	640	360	false	3d30a4ab94b67d00a1df852f2d3a1e88	0.2500
panel_portrait	wierzbicka	reports/pkg_0187/visual/panel_portrait__wierzbicka.png	Windows	640	360	false	0720a886a933d0acdc7b735389217b36	0.2496
panel_portrait	szymon	reports/pkg_0187/visual/panel_portrait__szymon.png	Windows	640	360	false	02bfcef4b5dbd2b80e83f2295180a19e	0.2504
panel_thought	lena	reports/pkg_0187/visual/panel_thought__lena.png	Windows	640	360	false	61f5a283a1f988387d0078d3b276edcf	0.2441
panel_dialogue	marta_then_lena	reports/pkg_0187/visual/panel_dialogue__marta_then_lena.png	Windows	640	360	false	d487842ce183ccfeaae58810c5b05f10	0.2503
