scene	frame_kind	mode	cycle_frames	frame_interval_ms_status	frame_interval_ms_count	frame_interval_ms_mean	frame_interval_ms_median	frame_interval_ms_p95	frame_interval_ms_max	time_process_ms_status	time_process_ms_count	time_process_ms_mean	time_process_ms_median	time_process_ms_p95	time_process_ms_max	time_physics_ms_status	time_physics_ms_count	time_physics_ms_mean	time_physics_ms_median	time_physics_ms_p95	time_physics_ms_max	canvas_items_status	canvas_items_count	canvas_items_mean	canvas_items_median	canvas_items_p95	canvas_items_max	canvas_primitives_status	canvas_primitives_count	canvas_primitives_mean	canvas_primitives_median	canvas_primitives_p95	canvas_primitives_max	canvas_draw_calls_status	canvas_draw_calls_count	canvas_draw_calls_mean	canvas_draw_calls_median	canvas_draw_calls_p95	canvas_draw_calls_max	render_cpu_ms_status	render_cpu_ms_count	render_cpu_ms_mean	render_cpu_ms_median	render_cpu_ms_p95	render_cpu_ms_max	render_gpu_ms_status	render_gpu_ms_count	render_gpu_ms_mean	render_gpu_ms_median	render_gpu_ms_p95	render_gpu_ms_max	frame_setup_cpu_ms_status	frame_setup_cpu_ms_count	frame_setup_cpu_ms_mean	frame_setup_cpu_ms_median	frame_setup_cpu_ms_p95	frame_setup_cpu_ms_max
station_41	world	no_player_and_shadow		available	118	3.00144915254237	2.684	5.645	11.131	available	118	253.241999999999	253.242	253.242	253.242	available	118	0.737	0.737	0.737	0.737	available	118	188.0	188.0	188.0	188.0	available	118	2156.0	2156.0	2156.0	2156.0	available	118	107.0	107.0	107.0	107.0	available	118	0.81131355615996	0.77399998903275	1.23599994182587	1.8639999628067	available	118	1.34883051277217	0.85299998521805	2.71799993515015	15.9320001602173	available	118	0.00846610169492	0.007	0.017	0.036
station_42a	world	full_world		available	118	2.10293220338983	1.685	6.256	12.694	available	118	170.304	111.406	253.242	253.242	available	118	0.59841525423729	0.5	0.737	0.737	available	118	94.0	94.0	94.0	94.0	available	118	540.0	540.0	540.0	540.0	available	118	69.0	69.0	69.0	69.0	available	118	0.62742373018952	0.57700002193451	0.96200001239777	1.63800001144409	available	118	0.78332203348814	0.57700002193451	1.78199994564056	8.86299991607666	available	118	0.00765254237288	0.006	0.014	0.037
station_42a	world	no_player_and_shadow		available	118	1.64547457627119	1.361	3.619	8.104	available	118	111.406	111.406	111.406	111.406	available	118	0.5	0.5	0.5	0.5	available	118	73.0	73.0	73.0	73.0	available	118	376.0	376.0	376.0	376.0	available	118	51.0	51.0	51.0	51.0	available	118	0.5490677955292	0.51999998092651	0.82400000095367	0.97600001096725	available	118	0.75245763209917	0.56199997663498	1.46099996566772	7.91800022125244	available	118	0.00727118644068	0.006	0.016	0.026
station_42b	world	full_world		available	118	1.69483898305085	1.598	2.492	7.582	available	118	111.406	111.406	111.406	111.406	available	118	0.5	0.5	0.5	0.5	available	118	93.0	93.0	93.0	93.0	available	118	620.0	620.0	620.0	620.0	available	118	69.0	69.0	69.0	69.0	available	118	0.57774576418481	0.53899997472763	0.96700000762939	1.21000003814697	available	118	0.86710169507285	0.68300002813339	1.80099999904633	9.0939998626709	available	118	0.00664406779661	0.006	0.012	0.018
station_42b	world	no_player_and_shadow		available	118	1.82913559322034	1.306	6.793	14.377	available	118	153.525	153.525	153.525	153.525	available	118	0.565	0.565	0.565	0.565	available	118	72.0	72.0	72.0	72.0	available	118	456.0	456.0	456.0	456.0	available	118	51.0	51.0	51.0	51.0	available	118	0.54985593246706	0.53299999237061	0.81999999284744	0.99500000476837	available	118	0.88130508161197	0.54699999094009	1.48599994182587	16.2229995727539	available	118	0.00693220338983	0.006	0.015	0.039
station_42c	world	full_world		available	118	2.11829661016949	1.729	4.542	9.668	available	118	153.525	153.525	153.525	153.525	available	118	0.565	0.565	0.565	0.565	available	118	111.0	111.0	111.0	111.0	available	118	839.0	839.0	839.0	839.0	available	118	70.0	70.0	70.0	70.0	available	118	0.6710677950059	0.64899998903275	1.01499998569489	1.72000002861023	available	118	0.85236441104089	0.58799999952316	1.62699997425079	9.20600032806396	available	118	0.00766101694915	0.007	0.014	0.025
station_42c	world	no_player_and_shadow		available	118	1.54815254237288	1.271	2.856	8.184	available	118	140.462949152542	153.525	153.525	153.525	available	118	0.70320338983051	0.565	0.867	0.867	available	118	90.0	90.0	90.0	90.0	available	118	675.0	675.0	675.0	675.0	available	118	52.0	52.0	52.0	52.0	available	118	0.53093220520828	0.51700001955032	0.71200001239777	1.04999995231628	available	118	0.68398305470661	0.52600002288818	1.53600001335144	9.11200046539307	available	118	0.00665254237288	0.006	0.014	0.042
station_42c	world_plus_crt	full_world_plus_crt		available	118	1.7264406779661	1.527	2.743	8.196	available	118	124.982	124.982	124.982	124.982	available	118	0.867	0.867	0.867	0.867	available	118	135.0	135.0	135.0	135.0	available	118	1313.0	1313.0	1313.0	1313.0	available	118	75.0	75.0	75.0	75.0	available	118	0.71153389952951	0.68300002813339	1.02100002765656	1.59300005435944	available	118	0.69227965858023	0.6129999756813	1.35199999809265	2.31299996376038	available	118	0.00914406779661	0.007	0.016	0.092
station_43	world	full_world		available	118	2.02617796610169	1.697	4.707	8.531	available	118	159.042220338983	124.982	220.675	220.675	available	118	0.81040677966102	0.867	0.867	0.867	available	118	123.0	123.0	123.0	123.0	available	118	678.0	678.0	678.0	678.0	available	118	73.0	73.0	73.0	73.0	available	118	0.61924576607801	0.59500002861023	1.02400004863739	1.21300005912781	available	118	0.95166102001223	0.63200002908707	1.94799995422363	10.6979999542236	available	118	0.00794915254237	0.007	0.017	0.038
station_43	world	no_player_and_shadow		available	118	1.93472881355932	1.36	7.772	14.47	available	118	220.675	220.675	220.675	220.675	available	118	0.708	0.708	0.708	0.708	available	118	102.0	102.0	102.0	102.0	available	118	514.0	514.0	514.0	514.0	available	118	55.0	55.0	55.0	55.0	available	118	0.56395762855724	0.533999979496	0.88099998235703	1.28799998760223	available	118	0.90070339532222	0.61199998855591	1.87999999523163	15.0170001983643	available	118	0.0068813559322	0.006	0.012	0.024
