scene	frame_kind	mode	cycle_frames	frame_interval_ms_status	frame_interval_ms_count	frame_interval_ms_mean	frame_interval_ms_median	frame_interval_ms_p95	frame_interval_ms_max	time_process_ms_status	time_process_ms_count	time_process_ms_mean	time_process_ms_median	time_process_ms_p95	time_process_ms_max	time_physics_ms_status	time_physics_ms_count	time_physics_ms_mean	time_physics_ms_median	time_physics_ms_p95	time_physics_ms_max	canvas_items_status	canvas_items_count	canvas_items_mean	canvas_items_median	canvas_items_p95	canvas_items_max	canvas_primitives_status	canvas_primitives_count	canvas_primitives_mean	canvas_primitives_median	canvas_primitives_p95	canvas_primitives_max	canvas_draw_calls_status	canvas_draw_calls_count	canvas_draw_calls_mean	canvas_draw_calls_median	canvas_draw_calls_p95	canvas_draw_calls_max	render_cpu_ms_status	render_cpu_ms_count	render_cpu_ms_mean	render_cpu_ms_median	render_cpu_ms_p95	render_cpu_ms_max	render_gpu_ms_status	render_gpu_ms_count	render_gpu_ms_mean	render_gpu_ms_median	render_gpu_ms_p95	render_gpu_ms_max	frame_setup_cpu_ms_status	frame_setup_cpu_ms_count	frame_setup_cpu_ms_mean	frame_setup_cpu_ms_median	frame_setup_cpu_ms_p95	frame_setup_cpu_ms_max
station_02	animation_cycle	full_world	218	available	218	2.15150917431193	1.719	4.49	14.431	available	218	207.790266055046	220.675	220.675	220.675	available	218	0.98047706422018	0.708	1.383	1.383	available	218	109.619266055046	102.0	121.0	121.0	available	218	815.908256880734	752.0	932.0	932.0	available	218	73.3577981651376	72.0	76.0	76.0	available	218	0.63123853354279	0.61199998855591	0.93400001525879	1.86899995803833	available	218	0.85386238253992	0.59399998188019	1.59300005435944	10.5590000152588	available	218	0.0081376146789	0.006	0.015	0.122
station_02	animation_cycle	no_dust	218	available	218	2.16634403669725	1.815	5.105	7.263	available	218	188.756000000001	188.756	188.756	188.756	available	218	1.383	1.383	1.383	1.383	available	218	108.935779816514	102.0	120.0	120.0	available	218	807.48623853211	752.0	896.0	896.0	available	218	73.1559633027523	72.0	75.0	75.0	available	218	0.67232568685068	0.65499997138977	1.0	1.44599997997284	available	218	0.79121559954018	0.56300002336502	1.32000005245209	10.1350002288818	available	218	0.00723853211009	0.006	0.013	0.041
station_02	animation_cycle	no_dust_and_shadow	218	available	218	2.06181651376147	1.655	5.098	13.219	available	218	41.0589587155961	14.713	188.756	188.756	available	218	1.37960550458716	1.379	1.383	1.383	available	218	107.348623853211	100.0	118.0	118.0	available	218	782.788990825688	724.0	868.0	868.0	available	218	71.2247706422018	70.0	73.0	73.0	available	218	0.63551834963877	0.60199999809265	1.06400001049042	1.37300002574921	available	218	0.87356880648967	0.56900000572205	1.70000004768372	15.58899974823	available	218	0.00675688073394	0.006	0.013	0.042
station_02	animation_cycle	no_player_and_shadow	218	available	218	1.60672018348624	1.248	2.202	15.387	available	218	14.7130000000001	14.713	14.713	14.713	available	218	1.379	1.379	1.379	1.379	available	218	83.1376146788991	80.0	98.0	98.0	available	218	621.100917431193	596.0	740.0	740.0	available	218	53.5229357798165	53.0	56.0	56.0	available	218	0.53294036749306	0.50199997425079	0.783999979496	1.08700001239777	available	218	0.79475229103631	0.53100001811981	1.22000002861023	16.4909992218018	available	218	0.0064128440367	0.006	0.012	0.036
station_02	animation_cycle	no_shadow	218	available	218	1.92772935779816	1.615	5.495	9.471	available	218	15.3742110091742	15.441	15.441	15.441	available	218	1.21006422018349	1.193	1.379	1.379	available	218	106.614678899083	101.0	119.0	119.0	available	218	804.917431192661	760.0	904.0	904.0	available	218	71.9357798165138	71.0	74.0	74.0	available	218	0.63508256846065	0.59500002861023	0.93800002336502	1.40900003910065	available	218	0.73404587053378	0.51700001955032	1.25	10.4799995422363	available	218	0.00762844036697	0.006	0.016	0.051
