cycle	loaded	object_count_before	object_count_after	delta	cache_after_clear	save_reload	pause_resume	status
1	22	2070	1991	-79	0	true	true	PASS
2	22	2131	1991	-140	0	true	true	PASS
3	22	2131	1991	-140	0	true	true	PASS
