cycle	loaded	object_count_before	object_count_after	delta	cache_after_clear	save_reload	pause_resume	status
1	22	2146	2023	-123	0	true	true	PASS
2	22	2163	2023	-140	0	true	true	PASS
3	22	2163	2023	-140	0	true	true	PASS
