scene	path	campaign_space	scene_kind	status	direct_frame_measurement	profiles	profile_count	scripted_nodes	procedural_draw_nodes	active_process_nodes	active_physics_nodes	animated_or_effect_nodes	cpuparticles_2d	point_lights_2d	animation_players	animated_sprites_2d	prototype_players	discontinuous_shadows	crt_dialogue_boxes	vector_stage_environments	atmosphere_rigs	opening_dialogue_cues	shared_element_nodes	script_paths	type_counts
station_34	res://scenes/levels/station_34.tscn	34	station	inventory_only	false	[{ "station_number": 34, "stage_seed": 34, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_34.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_35	res://scenes/levels/station_35.tscn	35	station	inventory_only	false	[{ "station_number": 35, "stage_seed": 35, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_35.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 6, "CollisionShape2D": 11, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_36	res://scenes/levels/station_36.tscn	36	station	inventory_only	false	[{ "station_number": 36, "stage_seed": 36, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_36.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 6, "CollisionShape2D": 11, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_37	res://scenes/levels/station_37.tscn	37	station	inventory_only	false	[{ "station_number": 37, "stage_seed": 37, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_37.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 6, "CollisionShape2D": 11, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_38	res://scenes/levels/station_38.tscn	38	station	inventory_only	true	[{ "station_number": 38, "stage_seed": 38, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	13	9	10	3	24	10	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_38.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/interactables/anchorable_object.gd": 1, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 6, "CollisionShape2D": 12, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 10, "AudioStreamPlayer2D": 8, "AnimatableBody2D": 1, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_39	res://scenes/levels/station_39.tscn	39	station	inventory_only	false	[{ "station_number": 39, "stage_seed": 39, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_39.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 6, "CollisionShape2D": 11, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_40	res://scenes/levels/station_40.tscn	40	station	inventory_only	false	[{ "station_number": 40, "stage_seed": 40, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_40.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 6, "CollisionShape2D": 11, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_41	res://scenes/levels/station_41.tscn	41	station	inventory_only	true	[{ "station_number": 41, "stage_seed": 41, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_41.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 6, "CollisionShape2D": 11, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_42a	res://scenes/levels/station_42a.tscn	42	finale_variant	inventory_only	true	[{ "station_number": 42, "stage_seed": 42, "stage_variant": "return", "world_size": "(640.0, 360.0)" }]	1	9	5	6	2	15	5	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_42a.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 2, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 3, "CollisionShape2D": 8, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 5, "AudioStreamPlayer2D": 4, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_42b	res://scenes/levels/station_42b.tscn	42	finale_variant	inventory_only	true	[{ "station_number": 42, "stage_seed": 42, "stage_variant": "reconciliation", "world_size": "(640.0, 360.0)" }]	1	9	5	6	2	15	5	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_42b.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 2, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 3, "CollisionShape2D": 8, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 5, "AudioStreamPlayer2D": 4, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_42c	res://scenes/levels/station_42c.tscn	42	finale_variant	inventory_only	true	[{ "station_number": 42, "stage_seed": 42, "stage_variant": "testimony", "world_size": "(640.0, 360.0)" }]	1	9	5	6	2	15	5	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_42c.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 2, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 3, "CollisionShape2D": 8, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 5, "AudioStreamPlayer2D": 4, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_43	res://scenes/levels/station_43.tscn	43	epilogue	inventory_only	true	[{ "station_number": 43, "stage_seed": 43, "stage_variant": "epilogue", "world_size": "(640.0, 360.0)" }]	1	10	6	7	2	17	6	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_43.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 3, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Area2D": 4, "CollisionShape2D": 9, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 6, "AudioStreamPlayer2D": 5, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
