scene	path	campaign_space	scene_kind	status	direct_frame_measurement	profiles	profile_count	scripted_nodes	procedural_draw_nodes	active_process_nodes	active_physics_nodes	animated_or_effect_nodes	cpuparticles_2d	point_lights_2d	animation_players	animated_sprites_2d	prototype_players	discontinuous_shadows	crt_dialogue_boxes	vector_stage_environments	atmosphere_rigs	opening_dialogue_cues	shared_element_nodes	script_paths	type_counts
station_23	res://scenes/levels/station_23.tscn	23	station	inventory_only	false	[{ "station_number": 23, "stage_seed": 23, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_23.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_24	res://scenes/levels/station_24.tscn	24	station	inventory_only	false	[{ "station_number": 24, "stage_seed": 24, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_24.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_25	res://scenes/levels/station_25.tscn	25	station	inventory_only	false	[{ "station_number": 25, "stage_seed": 25, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_25.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_26	res://scenes/levels/station_26.tscn	26	station	inventory_only	false	[{ "station_number": 26, "stage_seed": 26, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_26.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 12, "Area2D": 6, "AnimatableBody2D": 1, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_27	res://scenes/levels/station_27.tscn	27	station	inventory_only	false	[{ "station_number": 27, "stage_seed": 27, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_27.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_28	res://scenes/levels/station_28.tscn	28	station	inventory_only	false	[{ "station_number": 28, "stage_seed": 28, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_28.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_29	res://scenes/levels/station_29.tscn	29	station	inventory_only	false	[{ "station_number": 29, "stage_seed": 29, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_29.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_30	res://scenes/levels/station_30.tscn	30	station	inventory_only	false	[{ "station_number": 30, "stage_seed": 30, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	13	9	10	3	24	10	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_30.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/interactables/anchorable_object.gd": 1, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 10, "AudioStreamPlayer2D": 8, "CollisionShape2D": 12, "Area2D": 6, "StaticBody2D": 4, "AnimatableBody2D": 1, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_31	res://scenes/levels/station_31.tscn	31	station	inventory_only	false	[{ "station_number": 31, "stage_seed": 31, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	12	8	9	2	21	8	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_31.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 8, "AudioStreamPlayer2D": 7, "CollisionShape2D": 11, "Area2D": 6, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_32	res://scenes/levels/station_32.tscn	32	station	inventory_only	false	[{ "station_number": 32, "stage_seed": 32, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	13	9	10	3	24	10	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_32.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/interactables/anchorable_object.gd": 1, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 10, "AudioStreamPlayer2D": 8, "CollisionShape2D": 12, "Area2D": 6, "AnimatableBody2D": 1, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
station_33	res://scenes/levels/station_33.tscn	33	station	inventory_only	false	[{ "station_number": 33, "stage_seed": 33, "stage_variant": "", "world_size": "(640.0, 360.0)" }]	1	13	9	10	3	24	10	3	0	0	1	0	1	1	1	1	5	{ "res://scripts/levels/station_33.gd": 1, "res://scripts/camera/cinematic_camera.gd": 1, "res://scripts/player/prototype_player.gd": 1, "res://scripts/interactables/memory_resonance_point.gd": 5, "res://scripts/interactables/anchorable_object.gd": 1, "res://scripts/ui/station_dialogue_cue.gd": 1, "res://scripts/ui/crt_dialogue_box.gd": 1, "res://scripts/levels/atmosphere_rig.gd": 1, "res://scripts/visual/vector_stage_environment.gd": 1 }	{ "Node2D": 5, "Camera2D": 1, "CharacterBody2D": 1, "CPUParticles2D": 10, "AudioStreamPlayer2D": 8, "CollisionShape2D": 12, "Area2D": 6, "AnimatableBody2D": 1, "StaticBody2D": 4, "Node": 1, "CanvasLayer": 1, "AudioStreamPlayer": 2, "Panel": 1, "Label": 3, "RichTextLabel": 1, "PointLight2D": 3 }
