scene	frame_kind	mode	cycle_frames	frame_interval_ms_status	frame_interval_ms_count	frame_interval_ms_mean	frame_interval_ms_median	frame_interval_ms_p95	frame_interval_ms_max	time_process_ms_status	time_process_ms_count	time_process_ms_mean	time_process_ms_median	time_process_ms_p95	time_process_ms_max	time_physics_ms_status	time_physics_ms_count	time_physics_ms_mean	time_physics_ms_median	time_physics_ms_p95	time_physics_ms_max	canvas_items_status	canvas_items_count	canvas_items_mean	canvas_items_median	canvas_items_p95	canvas_items_max	canvas_primitives_status	canvas_primitives_count	canvas_primitives_mean	canvas_primitives_median	canvas_primitives_p95	canvas_primitives_max	canvas_draw_calls_status	canvas_draw_calls_count	canvas_draw_calls_mean	canvas_draw_calls_median	canvas_draw_calls_p95	canvas_draw_calls_max	render_cpu_ms_status	render_cpu_ms_count	render_cpu_ms_mean	render_cpu_ms_median	render_cpu_ms_p95	render_cpu_ms_max	render_gpu_ms_status	render_gpu_ms_count	render_gpu_ms_mean	render_gpu_ms_median	render_gpu_ms_p95	render_gpu_ms_max	frame_setup_cpu_ms_status	frame_setup_cpu_ms_count	frame_setup_cpu_ms_mean	frame_setup_cpu_ms_median	frame_setup_cpu_ms_p95	frame_setup_cpu_ms_max
station_02	animation_cycle	full_world	218	available	218	2.07323394495413	1.558	6.545	15.424	available	218	239.343999999999	239.344	239.344	239.344	available	218	0.8	0.8	0.8	0.8	available	218	107.990825688073	102.0	121.0	121.0	available	218	803.522935779817	752.0	932.0	932.0	available	218	73.105504587156	72.0	76.0	76.0	available	218	0.59237614656807	0.54299998283386	0.93300002813339	1.26600003242493	available	218	0.79954587716028	0.55500000715256	1.66299998760223	10.5469999313354	available	218	0.00650917431193	0.006	0.011	0.04
station_02	animation_cycle	no_dust	218	available	218	2.1399495412844	1.642	7.166	9.297	available	218	79.0625871559638	15.361	239.344	239.344	available	218	1.02040366972477	1.108	1.108	1.108	available	218	108.440366972477	102.0	120.0	120.0	available	218	803.522935779817	752.0	896.0	896.0	available	218	73.0733944954128	72.0	75.0	75.0	available	218	0.59894495382221	0.55699998140335	0.92500001192093	1.18700003623962	available	218	0.80049541182474	0.55400002002716	1.21000003814697	11.4549999237061	available	218	0.00673853211009	0.006	0.011	0.054
station_02	animation_cycle	no_dust_and_shadow	218	available	218	2.07969724770642	1.53	7.575	17.132	available	218	15.361	15.361	15.361	15.361	available	218	1.108	1.108	1.108	1.108	available	218	106.192660550459	100.0	118.0	118.0	available	218	773.54128440367	724.0	868.0	868.0	available	218	71.0321100917431	70.0	73.0	73.0	available	218	0.5979357801993	0.55800002813339	0.86500000953674	1.23500001430511	available	218	0.90409174178718	0.58499997854233	1.8309999704361	18.2269992828369	available	218	0.00733944954128	0.006	0.012	0.064
station_02	animation_cycle	no_player_and_shadow	218	available	218	1.74085779816514	1.225	6.872	16.874	available	218	17.1509999999999	17.151	17.151	17.151	available	218	1.137	1.137	1.137	1.137	available	218	83.6330275229358	80.0	98.0	98.0	available	218	625.064220183486	596.0	740.0	740.0	available	218	53.605504587156	53.0	56.0	56.0	available	218	0.53546330114023	0.48500001430511	0.8309999704361	1.36899995803833	available	218	0.89584403874677	0.52700001001358	1.54499995708466	17.3600006103516	available	218	0.00677064220183	0.006	0.013	0.051
station_02	animation_cycle	no_shadow	218	available	218	1.75068348623853	1.49	2.548	8.515	available	218	17.1509999999999	17.151	17.151	17.151	available	218	1.137	1.137	1.137	1.137	available	218	105.45871559633	101.0	119.0	119.0	available	218	795.669724770642	760.0	904.0	904.0	available	218	71.743119266055	71.0	74.0	74.0	available	218	0.5810229349027	0.55699998140335	0.77100002765656	1.28999996185303	available	218	0.72144954275647	0.56300002336502	0.95999997854233	9.23799991607666	available	218	0.00755504587156	0.006	0.013	0.07
