generator	call_status	mix_rate	frames	peak_abs	clipped_samples	dc_offset	loop_mode	seam_delta	status
create_ceramic_cup_clink_sound	CALLED	44100	16758	0.468475	0	-0.000153	0	0.000397	PASS
create_tea_pour_steam_sound	CALLED	44100	50714	0.737183	0	0.001934	0	0.000153	PASS
create_kitchen_clock_tick_sound	CALLED	44100	10584	0.804657	0	0.001671	0	0.000214	PASS
create_dossier_paper_turn_sound	CALLED	44100	21168	0.213470	0	0.000037	0	0.003326	PASS
create_dispenser_ticket_sound	CALLED	44100	18522	0.918091	0	-0.000019	0	0.000000	PASS
create_clinic_intercom_chime_sound	CALLED	44100	48510	0.611206	0	0.000031	0	0.010986	PASS
create_pneumatic_tube_whoosh_sound	CALLED	44100	59535	0.741577	0	0.000141	0	0.000000	PASS
create_wierzbicka_printer_sound	CALLED	44100	52920	0.447174	0	-0.000304	0	0.000580	PASS
create_sensory_galvanometer_tick_sound	CALLED	44100	7938	0.857361	0	0.000748	0	0.000031	PASS
create_substructure_strain_groan_sound	CALLED	44100	79380	0.717804	0	-0.000000	0	0.000000	PASS
create_map_node_pulse_sound	CALLED	44100	24255	0.310364	0	-0.000001	0	0.000366	PASS
create_wierzbicka_stamp_sound	CALLED	44100	15434	0.951752	0	0.001530	0	0.000031	PASS
create_model_table_resonance_sound	CALLED	44100	37485	0.644836	0	-0.000001	0	0.001617	PASS
create_paper_map_rustle_sound	CALLED	44100	19845	0.465332	0	0.000000	0	0.000000	PASS
create_ledger_page_turn_sound	CALLED	44100	22050	0.476166	0	0.000008	0	0.001312	PASS
create_model_room_door_release_sound	CALLED	44100	26460	0.458038	0	0.000002	0	0.000000	PASS
create_crayon_drawing_rustle_sound	CALLED	44100	19845	0.813568	0	0.000000	0	0.000000	PASS
create_well_water_drip_sound	CALLED	44100	33075	0.668579	0	0.000116	0	0.000397	PASS
create_szymon_dialogue_blip_sound	CALLED	44100	3969	0.624969	0	-0.000034	0	0.000122	PASS
create_door_creak_shift_sound	CALLED	44100	28665	0.934723	0	0.002120	0	0.000000	PASS
create_anesthetic_hum_sound	CALLED	44100	52920	0.570129	0	-0.000000	0	0.000000	PASS
create_sedation_monitor_blip_sound	CALLED	44100	9702	0.300262	0	0.000003	0	0.000153	PASS
create_erased_name_glitch_sound	CALLED	44100	21168	0.926117	0	-0.000717	0	0.000031	PASS
create_station21_airlock_sound	CALLED	44100	28665	0.588959	0	0.000074	0	0.000000	PASS
create_biometric_gate_scan_sound	CALLED	44100	33075	0.870270	0	-0.000008	0	0.000031	PASS
create_ring_resonance_hum_sound	CALLED	44100	41895	0.633911	0	-0.000000	0	0.000000	PASS
create_paint_memory_recall_sound	CALLED	44100	55125	0.884644	0	0.000000	0	0.000000	PASS
create_biographical_erasure_glitch_sound	CALLED	44100	37485	0.752625	0	0.000380	0	0.000061	PASS
create_station22_door_release_sound	CALLED	44100	30869	0.441406	0	0.000045	0	0.000000	PASS
create_designer_terminal_hum_sound	CALLED	44100	48510	0.814392	0	-0.000001	0	0.000000	PASS
create_cursor_shift_glitch_sound	CALLED	44100	10584	0.622375	0	-0.000003	0	0.000031	PASS
create_burden_ledger_scan_sound	CALLED	44100	28665	0.564240	0	-0.000005	0	0.000000	PASS
create_designer_note_chime_sound	CALLED	44100	39690	0.518372	0	-0.000003	0	0.002563	PASS
create_station23_exit_unlatch_sound	CALLED	44100	33075	0.476379	0	0.000034	0	0.000000	PASS
create_cctv_static_hum_sound	CALLED	44100	52920	0.765656	0	-0.000001	0	0.000000	PASS
create_correction_stress_siren_sound	CALLED	44100	48510	0.810486	0	-0.000000	0	0.000000	PASS
create_intercom_wierzbicka_tone_sound	CALLED	44100	19845	0.594940	0	-0.000005	0	0.000916	PASS
create_decision_button_latch_sound	CALLED	44100	13230	0.702057	0	0.002356	0	0.000000	PASS
create_station24_door_release_sound	CALLED	44100	33075	0.471558	0	0.000046	0	0.000000	PASS
create_transit_rail_hum_sound	CALLED	44100	55125	0.801361	0	-0.000002	0	0.000000	PASS
create_jakub_uniform_rustle_sound	CALLED	44100	22050	0.440277	0	0.000000	0	0.000000	PASS
create_scar_revelation_chime_sound	CALLED	44100	52920	0.771515	0	-0.000004	0	0.020050	PASS
create_finger_edge_scrape_sound	CALLED	44100	15434	0.343689	0	0.000000	0	0.000427	PASS
create_station25_door_release_sound	CALLED	44100	30869	0.493805	0	0.000045	0	0.000000	PASS
create_isolation_hum_sound	CALLED	44100	57330	0.656647	0	-0.000002	0	0.000000	PASS
create_reconfiguration_chime_sound	CALLED	44100	37485	0.649445	0	-0.000009	0	0.001129	PASS
create_wierzbicka_calming_tone_sound	CALLED	44100	26460	0.725952	0	-0.000000	0	0.000000	PASS
create_motivation_scratch_sound	CALLED	44100	19845	0.563751	0	-0.002078	0	0.001617	PASS
create_station26_door_release_sound	CALLED	44100	33075	0.495911	0	0.000048	0	0.000000	PASS
create_service_tunnel_hum_sound	CALLED	44100	52920	0.741089	0	-0.000007	0	0.000000	PASS
create_jakub_keycard_latch_sound	CALLED	44100	24255	0.408752	0	0.000218	0	0.000000	PASS
create_gratitude_confession_tone_sound	CALLED	44100	44100	0.842255	0	-0.000000	0	0.000000	PASS
create_surface_danger_siren_sound	CALLED	44100	39690	0.711853	0	-0.000000	0	0.000000	PASS
create_station27_door_release_sound	CALLED	44100	37485	0.661011	0	0.000001	0	0.000000	PASS
create_moving_tram_motor_sound	CALLED	44100	52920	0.933502	0	-0.000001	0	0.000000	PASS
create_track_switch_clack_sound	CALLED	44100	19845	0.493378	0	0.000076	0	0.000000	PASS
create_wierzbicka_closing_intercom_sound	CALLED	44100	48510	0.210663	0	-0.000001	0	0.002014	PASS
create_paradox_peron_shimmer_sound	CALLED	44100	59535	0.625061	0	0.000000	0	0.000000	PASS
create_station28_pneumatic_brake_sound	CALLED	44100	41895	0.624939	0	0.000044	0	0.000702	PASS
create_platform13_drip_echo_sound	CALLED	44100	50714	0.584076	0	0.000009	0	0.000000	PASS
create_flickering_neon_buzz_sound	CALLED	44100	37485	0.742584	0	0.000000	0	0.000000	PASS
create_deep_well_drone_sound	CALLED	44100	61739	0.768311	0	0.000006	0	0.000031	PASS
create_jakub_torch_click_sound	CALLED	44100	19845	0.434357	0	0.000001	0	0.000000	PASS
create_station29_grate_creak_sound	CALLED	44100	46305	0.709442	0	0.002510	0	0.027588	PASS
create_transformer_oil_hum_sound	CALLED	44100	79380	0.841644	0	0.001370	0	0.000000	PASS
create_knife_switch_throw_sound	CALLED	44100	39690	0.655304	0	0.000646	0	0.000000	PASS
create_high_voltage_spark_sound	CALLED	44100	17640	0.902985	0	0.000159	0	0.000061	PASS
create_power_grid_relay_sound	CALLED	44100	30869	0.336517	0	0.000237	0	0.000000	PASS
create_station30_door_release_sound	CALLED	44100	48510	0.890015	0	0.000518	0	0.000000	PASS
create_eleven_chairs_whisper_sound	CALLED	44100	70560	0.795288	0	0.000000	0	0.000000	PASS
create_wierzbicka_recitation_chime_sound	CALLED	44100	52920	0.944092	0	0.000157	0	0.001251	PASS
create_twelfth_chair_resonance_sound	CALLED	44100	61739	0.412872	0	-0.000005	0	0.000000	PASS
create_variant_ledger_page_sound	CALLED	44100	28665	0.382507	0	0.000587	0	0.000000	PASS
create_station31_pressure_hiss_sound	CALLED	44100	55125	0.562714	0	0.000001	0	0.000671	PASS
create_glass_condensation_wipe_sound	CALLED	44100	33075	0.580536	0	-0.003571	0	0.000000	PASS
create_glass_stress_ring_sound	CALLED	44100	57330	0.668335	0	-0.000002	0	0.014404	PASS
create_fire_memory_rumble_sound	CALLED	44100	66150	0.914001	0	-0.000978	0	0.000000	PASS
create_consensus_stamp_reverberation_sound	CALLED	44100	48510	0.950897	0	0.000479	0	0.001495	PASS
create_station32_hatch_unseal_sound	CALLED	44100	44100	0.680664	0	0.000491	0	0.000000	PASS
create_ladder_rung_climb_sound	CALLED	44100	28665	0.718018	0	0.000612	0	0.000244	PASS
create_depth_pressure_creak_sound	CALLED	44100	61739	0.945007	0	-0.008053	0	0.000000	PASS
create_cable_trunk_pulse_sound	CALLED	44100	52920	0.924194	0	-0.000000	0	0.000000	PASS
create_shaft_work_light_hum_sound	CALLED	44100	39690	0.696381	0	0.001815	0	0.000763	PASS
create_station33_lower_hatch_sound	CALLED	44100	59535	0.815552	0	0.000626	0	0.000000	PASS
create_core_reactor_pulse_sound	CALLED	44100	61739	0.814178	0	-0.000015	0	0.000061	PASS
create_biography_slider_drag_sound	CALLED	44100	28665	0.454041	0	0.000114	0	0.003784	PASS
create_core_thermal_alarm_sound	CALLED	44100	37485	0.631012	0	-0.004173	0	0.000031	PASS
create_jakub_diagnostic_probe_sound	CALLED	44100	19845	0.663208	0	0.000084	0	0.018494	PASS
create_station34_filtration_gate_sound	CALLED	44100	66150	0.822906	0	0.000309	0	0.000000	PASS
create_sedation_liquid_slosh_sound	CALLED	44100	57330	0.718262	0	-0.000352	0	0.000000	PASS
create_sludge_valve_creak_sound	CALLED	44100	41895	0.774261	0	0.000229	0	0.001892	PASS
create_chemical_bubbler_sound	CALLED	44100	30869	0.627716	0	-0.000422	0	0.006256	PASS
create_sedation_saturation_alarm_sound	CALLED	44100	35280	0.766876	0	0.000265	0	0.005157	PASS
create_station35_drain_sluice_sound	CALLED	44100	63945	0.802155	0	0.000232	0	0.000153	PASS
create_storm_drain_torrent_sound	CALLED	44100	70560	0.910980	0	0.000942	0	0.003265	PASS
create_drain_weir_creak_sound	CALLED	44100	41895	0.831085	0	0.000455	0	0.013702	PASS
create_acid_ladder_clank_sound	CALLED	44100	17640	0.946991	0	-0.000034	0	0.000427	PASS
create_groundwater_leak_alarm_sound	CALLED	44100	37485	0.654877	0	0.000104	0	0.025116	PASS
create_station36_storm_gate_sound	CALLED	44100	66150	0.845032	0	-0.002440	0	0.000397	PASS
create_signal_antenna_carrier_sound	CALLED	44100	61739	0.800507	0	0.000089	0	0.017212	PASS
create_cross_patchbay_plug_sound	CALLED	44100	15434	0.860535	0	0.000020	0	0.001068	PASS
create_crt_sweep_interference_sound	CALLED	44100	39690	0.552765	0	-0.000684	0	0.050842	PASS
create_memory_injection_lever_sound	CALLED	44100	18522	0.721436	0	0.000243	0	0.004150	PASS
create_station37_broadcast_gate_sound	CALLED	44100	68355	0.751953	0	0.000514	0	0.023193	PASS
create_accident_field_distortion_sound	CALLED	44100	66150	0.784302	0	-0.002544	0	0.000244	PASS
create_jakub_destabilization_hum_sound	CALLED	44100	48510	0.790741	0	0.000190	0	0.000916	PASS
create_rescue_tether_chime_sound	CALLED	44100	55125	0.851410	0	0.000004	0	0.020020	PASS
create_coordinate_calculator_click_sound	CALLED	44100	16758	0.889954	0	0.000366	0	0.000214	PASS
create_station38_reference_vault_door_sound	CALLED	44100	72765	0.837921	0	-0.002133	0	0.028625	PASS
create_reference_core_harmonics_sound	CALLED	44100	97020	0.783936	0	-0.000000	0	0.000000	PASS
create_branch_configuration_a_sound	CALLED	44100	61739	0.663757	0	0.000006	0	0.004425	PASS
create_branch_configuration_b_sound	CALLED	44100	66150	0.845917	0	-0.000008	0	0.012512	PASS
create_branch_configuration_c_sound	CALLED	44100	79380	0.817047	0	-0.000000	0	0.003479	PASS
create_station39_act4_gateway_sound	CALLED	44100	83790	0.894318	0	0.001395	0	0.000153	PASS
create_wierzbicka_personal_terminal_sound	CALLED	44100	66150	0.788361	0	-0.000009	0	0.002075	PASS
create_marta_witness_presence_sound	CALLED	44100	70560	0.717987	0	-0.000007	0	0.005371	PASS
create_szymon_transmission_feed_sound	CALLED	44100	61739	0.689240	0	-0.000008	0	0.007935	PASS
create_cost_dossier_matrix_sound	CALLED	44100	57330	0.945831	0	0.000012	0	0.002014	PASS
create_station40_final_chamber_gate_sound	CALLED	44100	79380	0.823730	0	0.005963	0	0.032593	PASS
create_operation_return_execution_sound	CALLED	44100	61739	0.755890	0	-0.000001	0	0.005432	PASS
create_operation_reconciliation_execution_sound	CALLED	44100	61739	0.947754	0	-0.000001	0	0.006836	PASS
create_operation_testimony_execution_sound	CALLED	44100	70560	0.754211	0	0.001687	0	0.004761	PASS
create_operation_console_engage_sound	CALLED	44100	39690	0.945282	0	-0.000121	0	0.001343	PASS
create_station41_act4_resolution_gate_sound	CALLED	44100	79380	0.934601	0	-0.004329	0	0.000580	PASS
create_epilogue_radio_announcement_sound	CALLED	44100	97020	0.576721	0	-0.000008	0	0.018555	PASS
create_epilogue_cup_clink_sound	CALLED	44100	28665	0.924744	0	0.000035	0	0.000000	PASS
create_epilogue_tram_switch_latch_sound	CALLED	44100	52920	0.893829	0	-0.000028	0	0.000580	PASS
create_epilogue_credits_drone_sound	CALLED	44100	110250	0.622711	0	-0.000000	0	0.000000	PASS
create_epilogue_final_carrier_sound	CALLED	44100	66150	0.696869	0	-0.000480	0	0.000000	PASS
