surface	mode	path	driver	width	height	md5	mean_luma
shell_title	pl	reports/pkg_0185/visual/shell_title__pl.png	Windows	640	360	bd27f9c4c34dabd8080f5fc44506ec13	0.1101
settings	pl	reports/pkg_0185/visual/settings__pl.png	Windows	640	360	50cc2390ee23ecd929d886711b68ffc8	0.1434
cold_open	initial	reports/pkg_0185/visual/cold_open__initial.png	Windows	640	360	05aeaebde19bef280fbd9e5f4f42ba83	0.1024
station_01	opening_panel	reports/pkg_0185/visual/station_01__opening_panel.png	Windows	640	360	9b9cd38ed9573e936cd4809a2e9d00e6	0.1788
station_01	normal	reports/pkg_0185/visual/station_01__normal.png	Windows	640	360	de09e07870feb1e73122413fda8ad842	0.1929
pause	campaign	reports/pkg_0185/visual/pause__campaign.png	Windows	640	360	294b404f027da1d712ca2236d13d4183	0.1035
station_02	opening_panel	reports/pkg_0185/visual/station_02__opening_panel.png	Windows	640	360	485bfa3fe715f5da62950e86a28872ed	0.1694
station_02	normal	reports/pkg_0185/visual/station_02__normal.png	Windows	640	360	42d6c8b7d62de54e468d879318f91f1c	0.1946
station_03	opening_panel	reports/pkg_0185/visual/station_03__opening_panel.png	Windows	640	360	4a7ec2cb68b2e47315e023ae398c93df	0.1470
station_03	normal	reports/pkg_0185/visual/station_03__normal.png	Windows	640	360	f48d5c78f381650cb9ffe3c15bb12226	0.1569
station_04	opening_panel	reports/pkg_0185/visual/station_04__opening_panel.png	Windows	640	360	a29cd390aff7897124ac37d38b05ce27	0.1516
station_04	normal	reports/pkg_0185/visual/station_04__normal.png	Windows	640	360	00b6954bacafae646102e0e582ff82d0	0.1723
station_05	opening_panel	reports/pkg_0185/visual/station_05__opening_panel.png	Windows	640	360	d689ce73cb11685c7413e4d5fafcca42	0.1459
station_05	normal	reports/pkg_0185/visual/station_05__normal.png	Windows	640	360	e1c21fb6e8457a87cd3d457313b5bd83	0.1636
station_06	opening_panel	reports/pkg_0185/visual/station_06__opening_panel.png	Windows	640	360	f82a7e704e39ac273a01f9dfe8177892	0.1591
station_06	normal	reports/pkg_0185/visual/station_06__normal.png	Windows	640	360	74ff2fe555467e88ca284a7072170323	0.1753
station_06	npc_frame	reports/pkg_0185/visual/station_06__npc_frame.png	Windows	640	360	735a802148af2e230f32cc87db8b83fc	0.1734
station_07	opening_panel	reports/pkg_0185/visual/station_07__opening_panel.png	Windows	640	360	eaf4550a8028627de9e53ff8fa52f18b	0.1543
station_07	normal	reports/pkg_0185/visual/station_07__normal.png	Windows	640	360	bd1d6d6cbe9274ef399e24696fd2785f	0.1783
station_08	opening_panel	reports/pkg_0185/visual/station_08__opening_panel.png	Windows	640	360	28e48bf38a0174167d93193a43f65265	0.1814
station_08	normal	reports/pkg_0185/visual/station_08__normal.png	Windows	640	360	27e5ff98dfe131c7ee7df5241295a685	0.2036
station_08	npc_frame	reports/pkg_0185/visual/station_08__npc_frame.png	Windows	640	360	2599b311fd66d69ba7f64bc5299e7448	0.1988
station_09	opening_panel	reports/pkg_0185/visual/station_09__opening_panel.png	Windows	640	360	71eb324acaf5a630813a490c6655f83b	0.2447
station_09	normal	reports/pkg_0185/visual/station_09__normal.png	Windows	640	360	d98d43f75aaef94bde18a32b394f7543	0.2724
station_10	opening_panel	reports/pkg_0185/visual/station_10__opening_panel.png	Windows	640	360	1f9dd1a77f2aaff0017d996fd77e8438	0.3257
station_10	normal	reports/pkg_0185/visual/station_10__normal.png	Windows	640	360	5a131cfd38913e603778cd7b64f2282b	0.3557
station_10	npc_frame	reports/pkg_0185/visual/station_10__npc_frame.png	Windows	640	360	fc10b6071bf501e9f6ed3c147098d087	0.3552
station_11	opening_panel	reports/pkg_0185/visual/station_11__opening_panel.png	Windows	640	360	944b6282084fc747e028edb9982a91c6	0.4967
station_11	normal	reports/pkg_0185/visual/station_11__normal.png	Windows	640	360	cdff3caecfb6e652df7fbe34d4a8e5b4	0.5640
station_11	npc_frame	reports/pkg_0185/visual/station_11__npc_frame.png	Windows	640	360	819455234d90f0230a5b593fb631cc83	0.6074
station_12	opening_panel	reports/pkg_0185/visual/station_12__opening_panel.png	Windows	640	360	6f0eb79da3d2507f1653a0d01b797ee1	0.2362
station_12	normal	reports/pkg_0185/visual/station_12__normal.png	Windows	640	360	8a5ace40f6fd2b9f1daec19fb6ace248	0.2476
station_12	npc_frame	reports/pkg_0185/visual/station_12__npc_frame.png	Windows	640	360	2de76fcf7ddc4b203cc6d2a6fe6d5b8e	0.2600
station_13	opening_panel	reports/pkg_0185/visual/station_13__opening_panel.png	Windows	640	360	61ef863a6a5e3ed1e4a131bab925ce55	0.2900
station_13	normal	reports/pkg_0185/visual/station_13__normal.png	Windows	640	360	cb573d0b75f3388cad281e259fba1c1e	0.3257
station_14	opening_panel	reports/pkg_0185/visual/station_14__opening_panel.png	Windows	640	360	981298dcd0cc36bed35948c289e4ad78	0.1732
station_14	normal	reports/pkg_0185/visual/station_14__normal.png	Windows	640	360	236080c762996c7dd969a0802ef00fee	0.1662
station_15	opening_panel	reports/pkg_0185/visual/station_15__opening_panel.png	Windows	640	360	6f711cf7e15bc9d5f398c4350f68e029	0.1675
station_15	normal	reports/pkg_0185/visual/station_15__normal.png	Windows	640	360	b46f6dbeab745217f9c7a20e0032584d	0.1634
station_16	opening_panel	reports/pkg_0185/visual/station_16__opening_panel.png	Windows	640	360	a5eecb96727c2786dc6838102f909cc5	0.1542
