generator	call_status	mix_rate	frames	peak_abs	clipped_samples	dc_offset	loop_mode	seam_delta	status
create_ceramic_cup_clink_sound	CALLED	44100	16758	0.410767	0	-0.000135	0	0.000366	PASS
create_tea_pour_steam_sound	CALLED	44100	50714	0.589783	0	0.001753	0	0.000153	PASS
create_kitchen_clock_tick_sound	CALLED	44100	10584	0.626617	0	0.001455	0	0.000183	PASS
create_dossier_paper_turn_sound	CALLED	44100	21168	0.197693	0	0.000035	0	0.003113	PASS
create_dispenser_ticket_sound	CALLED	44100	18522	0.681488	0	-0.000009	0	0.000000	PASS
create_clinic_intercom_chime_sound	CALLED	44100	48510	0.512268	0	0.000028	0	0.010345	PASS
create_pneumatic_tube_whoosh_sound	CALLED	44100	59535	0.741577	0	0.000141	0	0.000000	PASS
create_wierzbicka_printer_sound	CALLED	44100	52920	0.394379	0	-0.000279	0	0.000549	PASS
create_sensory_galvanometer_tick_sound	CALLED	44100	7938	0.653198	0	0.000586	0	0.000000	PASS
create_substructure_strain_groan_sound	CALLED	44100	79380	0.578583	0	-0.000000	0	0.000000	PASS
create_map_node_pulse_sound	CALLED	44100	24255	0.282715	0	-0.000001	0	0.000366	PASS
create_wierzbicka_stamp_sound	CALLED	44100	15434	0.696136	0	0.001243	0	0.000000	PASS
create_model_table_resonance_sound	CALLED	44100	37485	0.534088	0	-0.000268	0	0.001495	PASS
create_paper_map_rustle_sound	CALLED	44100	19845	0.408325	0	0.000000	0	0.000000	PASS
create_ledger_page_turn_sound	CALLED	44100	22050	0.416565	0	0.000016	0	0.001221	PASS
create_model_room_door_release_sound	CALLED	44100	26460	0.402771	0	-0.000013	0	0.000000	PASS
create_crayon_drawing_rustle_sound	CALLED	44100	19845	0.631256	0	-0.000013	0	0.000000	PASS
create_well_water_drip_sound	CALLED	44100	33075	0.548981	0	0.000109	0	0.000366	PASS
create_szymon_dialogue_blip_sound	CALLED	44100	3969	0.521301	0	-0.000003	0	0.000122	PASS
create_door_creak_shift_sound	CALLED	44100	28665	0.688812	0	0.001920	0	0.000000	PASS
create_anesthetic_hum_sound	CALLED	44100	52920	0.484528	0	-0.000000	0	0.000000	PASS
create_sedation_monitor_blip_sound	CALLED	44100	9702	0.274048	0	0.000003	0	0.000153	PASS
create_erased_name_glitch_sound	CALLED	44100	21168	0.685028	0	-0.000603	0	0.000031	PASS
create_station21_airlock_sound	CALLED	44100	28665	0.497375	0	0.000065	0	0.000000	PASS
create_biometric_gate_scan_sound	CALLED	44100	33075	0.659393	0	-0.000031	0	0.000031	PASS
create_ring_resonance_hum_sound	CALLED	44100	41895	0.527100	0	-0.000000	0	0.000000	PASS
create_paint_memory_recall_sound	CALLED	44100	55125	0.666199	0	-0.000007	0	0.000000	PASS
create_biographical_erasure_glitch_sound	CALLED	44100	37485	0.598511	0	0.000392	0	0.000061	PASS
create_station22_door_release_sound	CALLED	44100	30869	0.389923	0	0.000042	0	0.000000	PASS
create_designer_terminal_hum_sound	CALLED	44100	48510	0.631683	0	-0.000001	0	0.000000	PASS
create_cursor_shift_glitch_sound	CALLED	44100	10584	0.519592	0	0.000007	0	0.000031	PASS
create_burden_ledger_scan_sound	CALLED	44100	28665	0.480438	0	-0.000009	0	0.000000	PASS
create_designer_note_chime_sound	CALLED	44100	39690	0.447845	0	-0.000003	0	0.002411	PASS
create_station23_exit_unlatch_sound	CALLED	44100	33075	0.416748	0	0.000033	0	0.000000	PASS
create_cctv_static_hum_sound	CALLED	44100	52920	0.605713	0	-0.000001	0	0.000000	PASS
create_correction_stress_siren_sound	CALLED	44100	48510	0.629639	0	0.000029	0	0.000000	PASS
create_intercom_wierzbicka_tone_sound	CALLED	44100	19845	0.501434	0	-0.000005	0	0.000885	PASS
create_decision_button_latch_sound	CALLED	44100	13230	0.569305	0	0.001986	0	0.000000	PASS
create_station24_door_release_sound	CALLED	44100	33075	0.413086	0	0.000023	0	0.000000	PASS
create_transit_rail_hum_sound	CALLED	44100	55125	0.624908	0	-0.000001	0	0.000000	PASS
create_jakub_uniform_rustle_sound	CALLED	44100	22050	0.389038	0	0.000000	0	0.000000	PASS
create_scar_revelation_chime_sound	CALLED	44100	52920	0.608917	0	-0.000004	0	0.018860	PASS
create_finger_edge_scrape_sound	CALLED	44100	15434	0.310913	0	0.000000	0	0.000397	PASS
create_station25_door_release_sound	CALLED	44100	30869	0.429779	0	0.000039	0	0.000000	PASS
create_isolation_hum_sound	CALLED	44100	57330	0.541565	0	-0.000002	0	0.000000	PASS
create_reconfiguration_chime_sound	CALLED	44100	37485	0.537018	0	-0.000009	0	0.001068	PASS
create_wierzbicka_calming_tone_sound	CALLED	44100	26460	0.583344	0	-0.000000	0	0.000000	PASS
create_motivation_scratch_sound	CALLED	44100	19845	0.480103	0	-0.001913	0	0.001526	PASS
create_station26_door_release_sound	CALLED	44100	33075	0.431366	0	0.000087	0	0.000000	PASS
create_service_tunnel_hum_sound	CALLED	44100	52920	0.591980	0	-0.000007	0	0.000000	PASS
create_jakub_keycard_latch_sound	CALLED	44100	24255	0.364166	0	0.000197	0	0.000000	PASS
create_gratitude_confession_tone_sound	CALLED	44100	44100	0.645752	0	-0.000000	0	0.000000	PASS
create_surface_danger_siren_sound	CALLED	44100	39690	0.575104	0	-0.000111	0	0.000000	PASS
create_station27_door_release_sound	CALLED	44100	37485	0.544281	0	-0.000003	0	0.000000	PASS
create_moving_tram_motor_sound	CALLED	44100	52920	0.688263	0	-0.000004	0	0.000000	PASS
create_track_switch_clack_sound	CALLED	44100	19845	0.429474	0	0.000071	0	0.000000	PASS
create_wierzbicka_closing_intercom_sound	CALLED	44100	48510	0.195129	0	-0.000001	0	0.001892	PASS
create_paradox_peron_shimmer_sound	CALLED	44100	59535	0.521362	0	0.000000	0	0.000000	PASS
create_station28_pneumatic_brake_sound	CALLED	44100	41895	0.521271	0	0.000041	0	0.000671	PASS
create_platform13_drip_echo_sound	CALLED	44100	50714	0.494080	0	0.000009	0	0.000000	PASS
create_flickering_neon_buzz_sound	CALLED	44100	37485	0.592865	0	0.000000	0	0.000000	PASS
create_deep_well_drone_sound	CALLED	44100	61739	0.607178	0	0.000006	0	0.000000	PASS
create_jakub_torch_click_sound	CALLED	44100	19845	0.384399	0	0.000001	0	0.000000	PASS
create_station29_grate_creak_sound	CALLED	44100	46305	0.573700	0	0.002324	0	0.025940	PASS
create_transformer_oil_hum_sound	CALLED	44100	79380	0.645477	0	0.001390	0	0.000000	PASS
create_knife_switch_throw_sound	CALLED	44100	39690	0.540710	0	0.000554	0	0.000000	PASS
create_high_voltage_spark_sound	CALLED	44100	17640	0.674683	0	0.000132	0	0.000061	PASS
create_power_grid_relay_sound	CALLED	44100	30869	0.304901	0	0.000217	0	0.000000	PASS
create_station30_door_release_sound	CALLED	44100	48510	0.668701	0	0.000518	0	0.000000	PASS
create_eleven_chairs_whisper_sound	CALLED	44100	70560	0.621704	0	-0.000000	0	0.000000	PASS
create_wierzbicka_recitation_chime_sound	CALLED	44100	52920	0.692841	0	0.000121	0	0.001190	PASS
create_twelfth_chair_resonance_sound	CALLED	44100	61739	0.367462	0	-0.000005	0	0.000000	PASS
create_variant_ledger_page_sound	CALLED	44100	28665	0.342987	0	0.000542	0	0.000000	PASS
create_station31_pressure_hiss_sound	CALLED	44100	55125	0.479370	0	0.000001	0	0.000610	PASS
create_glass_condensation_wipe_sound	CALLED	44100	33075	0.491669	0	-0.003282	0	0.000000	PASS
create_glass_stress_ring_sound	CALLED	44100	57330	0.548828	0	-0.000001	0	0.013519	PASS
create_fire_memory_rumble_sound	CALLED	44100	66150	0.679657	0	-0.000965	0	0.000000	PASS
create_consensus_stamp_reverberation_sound	CALLED	44100	48510	0.695770	0	0.000395	0	0.001404	PASS
create_station32_hatch_unseal_sound	CALLED	44100	44100	0.556427	0	0.000517	0	0.000000	PASS
create_ladder_rung_climb_sound	CALLED	44100	28665	0.718018	0	0.000612	0	0.000244	PASS
create_depth_pressure_creak_sound	CALLED	44100	61739	0.693237	0	-0.007233	0	0.000000	PASS
create_cable_trunk_pulse_sound	CALLED	44100	52920	0.684204	0	-0.000000	0	0.000000	PASS
create_shaft_work_light_hum_sound	CALLED	44100	39690	0.565918	0	0.001555	0	0.000702	PASS
create_station33_lower_hatch_sound	CALLED	44100	59535	0.632263	0	0.000555	0	0.000000	PASS
create_core_reactor_pulse_sound	CALLED	44100	61739	0.631561	0	-0.000014	0	0.000061	PASS
create_biography_slider_drag_sound	CALLED	44100	28665	0.399689	0	0.000105	0	0.003540	PASS
create_core_thermal_alarm_sound	CALLED	44100	37485	0.525238	0	-0.003750	0	0.000031	PASS
create_jakub_diagnostic_probe_sound	CALLED	44100	19845	0.545654	0	0.000072	0	0.017365	PASS
create_station34_filtration_gate_sound	CALLED	44100	66150	0.636047	0	0.000263	0	0.000000	PASS
create_sedation_liquid_slosh_sound	CALLED	44100	57330	0.578857	0	-0.000524	0	0.000000	PASS
create_sludge_valve_creak_sound	CALLED	44100	41895	0.610413	0	0.000207	0	0.001770	PASS
create_chemical_bubbler_sound	CALLED	44100	30869	0.523071	0	-0.000382	0	0.005859	PASS
create_sedation_saturation_alarm_sound	CALLED	44100	35280	0.606384	0	0.000212	0	0.004822	PASS
create_station35_drain_sluice_sound	CALLED	44100	63945	0.625305	0	0.000212	0	0.000153	PASS
create_storm_drain_torrent_sound	CALLED	44100	70560	0.678284	0	0.000811	0	0.003082	PASS
create_drain_weir_creak_sound	CALLED	44100	41895	0.640167	0	0.000405	0	0.012878	PASS
create_acid_ladder_clank_sound	CALLED	44100	17640	0.694092	0	0.000004	0	0.000397	PASS
create_groundwater_leak_alarm_sound	CALLED	44100	37485	0.540436	0	0.000090	0	0.023621	PASS
create_station36_storm_gate_sound	CALLED	44100	66150	0.647156	0	-0.002320	0	0.000366	PASS
create_signal_antenna_carrier_sound	CALLED	44100	61739	0.624451	0	0.000092	0	0.016174	PASS
create_cross_patchbay_plug_sound	CALLED	44100	15434	0.654724	0	-0.000044	0	0.001007	PASS
create_crt_sweep_interference_sound	CALLED	44100	39690	0.472443	0	-0.000629	0	0.047760	PASS
create_memory_injection_lever_sound	CALLED	44100	18522	0.721436	0	0.000243	0	0.004150	PASS
create_station37_broadcast_gate_sound	CALLED	44100	68355	0.598114	0	0.000469	0	0.021790	PASS
create_accident_field_distortion_sound	CALLED	44100	66150	0.615845	0	-0.002445	0	0.000214	PASS
